,GPT-4 Turbo,GPT-4 0314,Claude 3 Opus,GPT-4 1106,GPT-4o,Claude 3.5 Sonnet (Old),o1-preview,Claude 3.5 Sonnet (New),o1,Claude 3.7 Sonnet,Claude 4 Opus,Claude 4.1 Opus,human,o3,GPT-5,Gemini 3 Pro,GPT-5.1-Codex-Max,Claude Opus 4.5,GPT-5.2
GPT-4 Turbo,0.9999999999999999,0.7478335531150814,0.7209540647421203,0.7428771111242426,0.6052187721618131,0.5698402306357784,0.4121895622517657,0.4766373755884447,0.27196243225422595,0.19673904724032917,0.19109413942720033,0.17173981253211584,0.08218936163126903,0.10265751336814742,0.08224223207488979,0.07166308490294096,0.0908646473996673,0.09746470932907209,0.07987087371449772
GPT-4 0314,0.7478335531150814,1.0,0.7828841887378412,0.7424518651450719,0.5583317873708011,0.5301694997289087,0.5347767021498049,0.6176697785684815,0.34235069548709446,0.35846081455839074,0.24842884857133934,0.23826099092814662,0.14499618774238587,0.15243352982193986,0.08789311153523227,0.07342315738151094,0.09958643319273461,0.09193045727766909,0.06363784525070192
Claude 3 Opus,0.7209540647421202,0.782884188737841,0.9999999999999998,0.8000496279698169,0.5500600074228221,0.6566754106568509,0.5248181505688512,0.5799819216340688,0.3976253388393959,0.31951389190126694,0.20769771993250202,0.19771521004696346,0.12006776356974956,0.13389871136737774,0.07372652342939569,0.0771374516994881,0.08591501298728707,0.08404289209970045,0.07036290337358311
GPT-4 1106,0.7428771111242426,0.7424518651450719,0.8000496279698169,1.0,0.5760461554135379,0.5445046057066046,0.39539605435659786,0.5380556281510319,0.41050826817382413,0.2616173362818784,0.27589590672111847,0.2685729140112986,0.14306423921777636,0.15562212071630727,0.1117632944124102,0.09578649084473884,0.09733334765685489,0.10504714755869408,0.08983935660782606
GPT-4o,0.6052187721618131,0.5583317873708011,0.5500600074228221,0.5760461554135379,1.0,0.5569603676762966,0.5078539882602623,0.4285480369040356,0.37742114192026854,0.28101513988740695,0.21197688793820904,0.19991975978043897,0.1486950135303242,0.1833334718914863,0.09425167456897038,0.11739812261912158,0.06879179776593851,0.06525601890098137,0.005516083515069916
Claude 3.5 Sonnet (Old),0.5698402306357784,0.5301694997289086,0.6566754106568509,0.5445046057066046,0.5569603676762966,1.0,0.45542775606808367,0.6414900295255481,0.33073168676450065,0.38577253460571137,0.270354049341588,0.23222514943438224,0.15724681579739194,0.1194026595425703,0.07835032051865476,0.11617650962612687,0.1481574362696046,0.07932298027138364,0.03589334114536866
o1-preview,0.4121895622517656,0.5347767021498049,0.5248181505688512,0.3953960543565978,0.5078539882602623,0.45542775606808367,0.9999999999999999,0.5085154202727667,0.6643730119507761,0.3599038450286642,0.36138266441747424,0.33535849841290244,0.2160497703502124,0.3336345568175856,0.17792316833391844,0.1780419404047163,0.18334932055930095,0.13408167574589547,0.09884359625005602
Claude 3.5 Sonnet (New),0.4766373755884447,0.6176697785684814,0.5799819216340688,0.5380556281510319,0.4285480369040356,0.6414900295255481,0.5085154202727667,1.0,0.4916913192291335,0.6454925826980389,0.4852853184112691,0.45328269589723474,0.2397687771215949,0.35073025721616424,0.23904021217111582,0.3087207766086558,0.30623079097970995,0.23519859980549293,0.1734656264748867
o1,0.2719624322542259,0.3423506954870944,0.3976253388393959,0.41050826817382413,0.3774211419202686,0.3307316867645006,0.6643730119507762,0.4916913192291335,0.9999999999999999,0.40894977578584046,0.44284123858445473,0.46215959731305095,0.1580404839594806,0.3595345464385819,0.2751153708733874,0.3079794502912723,0.2904862534192434,0.26701012541791275,0.2526513146867851
Claude 3.7 Sonnet,0.19673904724032915,0.3584608145583908,0.3195138919012669,0.26161733628187833,0.28101513988740695,0.38577253460571137,0.3599038450286642,0.6454925826980388,0.4089497757858404,1.0,0.6374859525820764,0.6612707391894248,0.21717598310374517,0.45220622538105093,0.36660556420685025,0.48914287650927674,0.41078203007228237,0.3956260239155972,0.2915926028067868
Claude 4 Opus,0.19109413942720033,0.24842884857133934,0.207697719932502,0.27589590672111847,0.211976887938209,0.270354049341588,0.36138266441747424,0.4852853184112691,0.44284123858445473,0.6374859525820764,0.9999999999999999,0.8529231764006597,0.3229277749407733,0.7060071679491117,0.60701738042315,0.6100410027443057,0.6646410936576354,0.5761540962452368,0.5402782380954889
Claude 4.1 Opus,0.17173981253211587,0.23826099092814665,0.19771521004696346,0.2685729140112987,0.199919759780439,0.23222514943438224,0.33535849841290244,0.45328269589723474,0.46215959731305095,0.6612707391894248,0.8529231764006598,1.0,0.2834820881354096,0.5969063088227464,0.585747743138298,0.5842460042243991,0.599160824666563,0.5931858316202465,0.5247625259816809
human,0.08218936163126903,0.14499618774238587,0.12006776356974956,0.1430642392177764,0.1486950135303242,0.15724681579739191,0.2160497703502124,0.2397687771215949,0.15804048395948062,0.21717598310374514,0.3229277749407733,0.2834820881354096,0.9999999999999998,0.35468092484058183,0.26645920516037347,0.19082261142220397,0.3399516085871471,0.17832791651116156,0.10173707823063488
o3,0.10265751336814742,0.15243352982193986,0.13389871136737774,0.15562212071630727,0.18333347189148627,0.11940265954257029,0.3336345568175856,0.35073025721616424,0.35953454643858196,0.45220622538105093,0.7060071679491118,0.5969063088227464,0.3546809248405819,0.9999999999999999,0.699681109812285,0.6187106809008517,0.762711337225782,0.5963937366980039,0.556990158411162
GPT-5,0.08224223207488979,0.08789311153523227,0.07372652342939569,0.11176329441241022,0.09425167456897039,0.07835032051865475,0.17792316833391844,0.23904021217111585,0.27511537087338744,0.3666055642068503,0.60701738042315,0.585747743138298,0.26645920516037347,0.699681109812285,0.9999999999999998,0.7454696873297991,0.8436260763755082,0.8197957167674876,0.7712858052909478
