,Claude 3 Opus,GPT-4 1106,GPT-4 0314,GPT-4 Turbo,GPT-4o,Claude 3.5 Sonnet (Old),Claude 3.5 Sonnet (New),o1-preview,o1,Claude 3.7 Sonnet,human,Claude 4 Opus,Claude 4.1 Opus,o3,GPT-5,GPT-5.1-Codex-Max,Claude Opus 4.5,Gemini 3 Pro,GPT-5.2
Claude 3 Opus,1.0,0.8439725665983523,0.8040452173214759,0.7316726997177136,0.5043394071944742,0.593430329884962,0.6297281564546245,0.5091982787029491,0.4304397310063368,0.34379540836499667,0.2143194827617068,0.2937286029572486,0.2907705560496667,0.10545989885122763,0.01517717574495354,0.070598017774976,0.23811100586909026,0.07585033395408528,0.029671687416964583
GPT-4 1106,0.8439725665983523,1.0,0.7907449079417364,0.7481159581758752,0.5259006327438506,0.5392771071284082,0.610442315802491,0.40285047564302723,0.4340595579355172,0.3067055765332549,0.2155045339209932,0.39272344921032115,0.40289205700419783,0.1462153675173264,0.09245083407582988,0.09969112057200584,0.25739925631683863,0.09366499788815438,0.06489398940638269
GPT-4 0314,0.8040452173214759,0.7907449079417362,1.0,0.7511655164174234,0.5173797964763706,0.46015971960485613,0.668949012046364,0.5200331855917667,0.32882682954615233,0.4392247094276162,0.1627788400570298,0.3977626234119296,0.3869435702828846,0.1609312249084862,0.07190689959444195,0.10696586584523676,0.16472523164677574,0.0793144067248638,0.050626708654131075
GPT-4 Turbo,0.7316726997177136,0.7481159581758752,0.7511655164174235,0.9999999999999998,0.593731844057879,0.5722483723164975,0.5464674418162376,0.3938221437078585,0.23423733719481798,0.2637597331876949,0.0658242133806185,0.3409562962828251,0.3184244865587129,0.06541311495833214,0.017097644796854612,0.0634130345198608,0.1427329766976386,0.04754054278469511,0.015888819491700682
GPT-4o,0.5043394071944743,0.5259006327438506,0.5173797964763706,0.593731844057879,0.9999999999999998,0.4971773373297874,0.43548267348863917,0.4769564311083803,0.37981501636297654,0.2177029925542507,0.2597064963246693,0.2778649644640815,0.2721852883149583,0.2843850445376761,0.19325868992997966,0.11392237274452692,0.224255130540269,0.08438477418790064,0.1686109579785719
Claude 3.5 Sonnet (Old),0.593430329884962,0.539277107128408,0.46015971960485613,0.5722483723164975,0.4971773373297874,1.0,0.6196462069397044,0.3258817268617599,0.2698695300946973,0.3623676377309904,0.1572519912327464,0.31263559295539745,0.3192334921028179,-0.030963093924378085,0.05083399472944612,0.10187843792369355,0.3033100980745351,0.12697402806465322,0.05168055999689833
Claude 3.5 Sonnet (New),0.6297281564546244,0.610442315802491,0.6689490120463639,0.5464674418162377,0.43548267348863917,0.6196462069397044,1.0,0.5147451150857149,0.39619336620024115,0.6124555686428308,0.2708444251693117,0.5416834672642953,0.5238077151009091,0.15757652496219962,0.10201498016392822,0.20902937731997837,0.29606630054289845,0.18889383094780762,0.08345476189714157
o1-preview,0.5091982787029491,0.40285047564302723,0.5200331855917668,0.3938221437078585,0.47695643110838026,0.3258817268617599,0.5147451150857149,1.0,0.7088240317000072,0.2917957636095335,0.22519590176638313,0.33469478569608707,0.31135548597621304,0.38636642885905065,0.1637670136239414,0.20704748536377554,0.25060860564185955,0.1378297913689738,0.18622795512304233
o1,0.43043973100633687,0.4340595579355172,0.32882682954615233,0.234237337194818,0.37981501636297654,0.2698695300946972,0.39619336620024115,0.7088240317000072,1.0,0.16368640910029608,0.22173895400648794,0.24887605735509327,0.2915631741053335,0.4178134034806292,0.20005476043768636,0.24079627330501052,0.3812610159075618,0.19852295134282433,0.24812475960243682
Claude 3.7 Sonnet,0.34379540836499667,0.3067055765332549,0.4392247094276162,0.2637597331876949,0.2177029925542507,0.3623676377309904,0.6124555686428307,0.29179576360953347,0.16368640910029605,1.0,0.3123810538562005,0.6730128221086695,0.638503587193761,0.2772636340258213,0.24316399365118813,0.33087472454823247,0.2805120806850864,0.40295672243396696,0.23160533212233003
