,agent,coefficient,intercept,bce_loss,average,alpha_posterior_mean,alpha_posterior_std,beta_posterior_mean,beta_posterior_std,posterior_correlation,p50,p50q0.025,p50q0.975,p80,p80q0.025,p80q0.975,release_date
0,Claude 3 Opus (Inspect),-1.295546,3.987769,0.165449,0.499037,4.005564,0.501836,-1.29908,0.126934,-0.924195,8.476695,6.749244,10.369185,4.026197,2.947149,5.347903,2024-03-04
1,Claude 3.5 Sonnet (New) (Inspect),-1.195923,5.465918,0.210936,0.625984,5.501664,0.560437,-1.201374,0.118485,-0.952282,23.961824,19.728733,28.931999,10.657113,8.279635,13.452824,2024-10-22
2,Claude 3.5 Sonnet (Old) (Inspect),-1.188681,4.776416,0.209709,0.58806,4.787969,0.508763,-1.191252,0.113159,-0.939461,16.241021,13.274754,19.808578,7.220462,5.433969,9.354967,2024-06-20
3,Claude 3.7 Sonnet (Inspect),-1.309323,7.337486,0.188174,0.700863,7.388564,0.689149,-1.319531,0.126365,-0.963446,48.615029,39.938961,58.8053,23.375995,18.800112,28.515324,2025-02-24
4,Claude 4 Opus (Inspect),-1.562224,9.450153,0.174619,0.72076,9.475725,0.763185,-1.566828,0.132832,-0.960232,66.189119,54.755126,80.990427,35.633276,29.481883,43.271864,2025-05-22
5,Claude 4.1 Opus (Inspect),-1.85249,11.299914,0.12387,0.746884,11.336888,1.137827,-1.860818,0.196166,-0.97293,68.645365,55.660756,83.211341,40.748873,33.221948,49.2386,2025-08-05
6,Claude Opus 4.5 (Inspect),-1.274983,9.635755,0.124438,0.826628,9.659384,0.840804,-1.276857,0.122011,-0.962697,189.821344,144.652271,248.791756,89.140463,69.936536,113.477667,2025-11-24
7,GPT-4 0314,-1.462164,4.281276,0.145882,0.484654,4.315249,0.510721,-1.469071,0.134523,-0.920454,7.628484,6.27595,9.329604,3.958592,3.038561,5.166905,2023-03-14
8,GPT-4 1106 (Inspect),-1.273936,3.795594,0.164295,0.496599,3.814004,0.471747,-1.278587,0.122834,-0.914698,7.893696,6.389245,9.781895,3.705519,2.709666,4.958411,2023-11-06
9,GPT-4 Turbo (Inspect),-1.539481,4.391536,0.132864,0.481589,4.43926,0.643667,-1.552221,0.177752,-0.934179,7.222786,5.837628,8.899281,3.878382,2.821556,5.162878,2024-04-09
10,GPT-4o (Inspect),-1.037902,3.537303,0.212201,0.52682,3.548541,0.391309,-1.039842,0.092138,-0.910885,10.657458,8.436068,13.043947,4.216113,2.997032,5.513529,2024-05-13
11,GPT-5 (Inspect),-1.236885,8.869785,0.146662,0.797348,8.898134,0.762128,-1.244978,0.115971,-0.959731,142.27533,110.384024,184.234599,65.670182,51.665105,83.000469,2025-08-07
12,GPT-5.1-Codex-Max (Inspect),-1.407321,10.345847,0.134193,0.791088,10.368181,0.818797,-1.41167,0.120832,-0.959008,163.587132,128.100888,206.519357,82.561432,65.609086,102.203483,2025-11-19
13,GPT-5.2,-1.219481,9.891048,0.138406,0.823101,9.913922,0.87118,-1.22298,0.1178,-0.963044,276.920494,207.51307,372.407201,125.608646,96.024186,163.843585,2025-12-11
14,Gemini 3 Pro,-1.212181,8.883848,0.141304,0.813218,8.897255,0.749131,-1.214899,0.113353,-0.959245,160.913781,123.297023,212.982569,72.652994,56.912255,92.271444,2025-11-18
15,o1 (Inspect),-1.058395,5.724955,0.22548,0.681992,5.752378,0.510406,-1.063439,0.095398,-0.952472,42.617495,34.743026,52.352187,17.143184,13.522469,21.456285,2024-12-05
16,o1-preview,-1.220124,5.651938,0.236494,0.599037,5.674233,0.447246,-1.223666,0.093046,-0.94176,24.882961,21.126083,29.430668,11.307894,9.205782,13.787789,2024-09-12
17,o3 (Inspect),-1.379612,8.996646,0.150084,0.770115,9.033527,0.792808,-1.384879,0.129692,-0.96089,92.575193,72.7982,116.001862,45.992101,36.390719,56.589529,2025-04-16
